"","x"
"197",96.2519118921392
"198",96.350202414807
"199",96.4466745933914
"200",96.5412176172386
"201",96.6337206752966
"202",96.7240729547198
"203",96.8121636461466
"204",96.8978819374164
"205",96.9811170164062
"206",97.0617580737392
"207",97.1396942958695
"208",97.2149565959123
"209",97.2875758839354
"210",97.3575830716153
"211",97.4250090703932
"212",97.4898847907076
"213",97.552241145446
"214",97.61210904414
"215",97.669519398196
"216",97.724503120262
"217",97.777091119561
"218",97.827314308962
"219",97.8752035991895
"220",97.9207899012097
"221",97.9641041267219
"222",98.005177186307
"223",98.0440399916744
"224",98.0807234542597
"225",98.1152584850375
"226",98.1476759957071
"227",98.1780068965623
"228",98.2062820990323
"229",98.2325325148417
"230",98.2567890551676
"231",98.2790826307356
"232",98.2994441538596
"233",98.3179045346672
"234",98.3344946851402
"235",98.3492455161561
"236",98.3621879386238
"237",98.3733528644592
"238",98.3827712047445
"239",98.3904738701823
"240",98.3964917727429
"241",98.4008558232231
"242",98.4035969331014
"243",98.4047460133859
"244",98.404333975505
"245",98.4023917305376
"246",98.3989501898832
"247",98.3940402648756
"248",98.3876928661203
"249",98.3799389057948
"250",98.3708092943179
"251",98.360334943506
"252",98.348546764703
"253",98.3354756683817
"254",98.3211525661319
"255",98.3056083693515
"256",98.2888739896261
"257",98.2709803376424
"258",98.2519583246603
"259",98.2318388621988
"260",98.210652860974
"261",98.188431233329
"262",98.1652048898846
"263",98.1410047413488
"264",98.1158616991504
"265",98.0898066752447
"266",98.062870580061
"267",98.0350843265407
"268",98.0064788228795
"269",97.9770849826021
"270",97.946933716728
"271",97.9160559361056
"272",97.8844825526253
"273",97.8522444764414
"274",97.8193726187492
"275",97.785897892982
"276",97.7518512080141
"277",97.7172634747903
"278",97.6821656067576
"279",97.6465469829119
"280",97.6103969836655
"281",97.5737049894663
"282",97.536460379007
"283",97.4986525346315
"284",97.4602708351588
"285",97.4213046599607
"286",97.3817433915708
"287",97.3415764082842
"288",97.300793091225
"289",97.2593828201927
"290",97.2173349756392
"291",97.1746389374281
"292",97.1312840859815
"293",97.087259801289
"294",97.0425554631426
"295",96.9971604530225
"296",96.9510641498348
"297",96.9042559340525
"298",96.8567251867797
"299",96.8084612870853
"300",96.759453615544
"301",96.7096915523799
"302",96.6591644778128
"303",96.6078617720135
"304",96.5557728152183
"305",96.5028869876101
"306",96.4491936693307
"307",96.3946822405995
"308",96.3393420816533
"309",96.2831625727912
"310",96.2261330938854
"311",96.1682430255173
"312",96.1094817476277
"313",96.0498386405762
"314",95.9893030846277
"315",95.9278644595051
"316",95.8655121461309
"317",95.8022355240214
"318",95.7380239739112
"319",95.6728668759249
"320",95.6067536096604
"321",95.5396735563451
"322",95.4716160948231
"323",95.4025706066355
"324",95.3325264714145
"325",95.2614730691812
"326",95.1893997801925
"327",95.116295985461
"328",95.0421510639103
"329",94.9669543964972
"330",94.8906953630213
"331",94.8133633450409
"332",94.7349477200187
"333",94.6554378710045
"334",94.5748231754325
"335",94.4930930162467
"336",94.4102367720822
"337",94.3262438231519
"338",94.2411035502061
"339",94.1548053333442
"340",94.0674646394815
"341",93.9791969366976
"342",93.8901176927517
"343",93.8003423740644
"344",93.7099864486278
"345",93.6191653841139
"346",93.5279946486313
"347",93.4365897080434
"348",93.3450660315966
"349",93.2535390863446
"350",93.1621243382134
"351",93.0709372559601
"352",92.9800933078458
"353",92.8897079595211
"354",92.7998966800673
"355",92.7107749364579
"356",92.6224581960781
"357",92.5350619262305
"358",92.4487015945903
"359",92.3634926685913
"360",92.2795506159379
"361",92.1969909039627
"362",92.1159290000281
"363",92.0364803716877
"364",91.9587604865041
"365",91.882884811976
"366",91.8089688158163
"367",91.7371279647224
"368",91.6674777268957
"369",91.6001335695157
"370",91.5352109606662
"371",91.4728253666912
"372",91.4130922559922
"373",91.3561270954011
"374",91.3020453538448
"375",91.250962497275
"376",91.2029939928303
"377",91.1582553086563
"378",91.1168619136127
"379",91.0789292717642
"380",91.0445728557912
"381",91.0139081277456
"382",90.9870505587135
"383",90.9641156136332
"384",90.9452187623104
"385",90.930475470206
"386",90.9200012060771
"387",90.9136491205363
"388",90.9112723638921
"389",90.9127240865198
"390",90.9178574387881
"391",90.9265255718768
"392",90.9385816352726
"393",90.9538787814016
"394",90.9722701587977
"395",90.993608920395
"396",91.0177482140188
"397",91.044541192209
"398",91.0738410049445
"399",91.1055008031615
"400",91.1393737370554
"401",91.1753129567141
"402",91.2131716134172
"403",91.2528028578698
"404",91.294059840797
"405",91.3367957112178
"406",91.3808636216445
"407",91.4261167209665
"408",91.4724081616709
"409",91.5195910927578
"410",91.5675186656409
"411",91.6160440303405
"412",91.6650203378193
"413",91.7143007384317
"414",91.7637383832663
"415",91.8131864221133
"416",91.8624980062157
"417",91.9115262858782
"418",91.9601244115996
"419",92.0081455341094
"420",92.0554428040356
"421",92.1018693717765
"422",92.1472783879628
"423",92.1915230032408
"424",92.2344563683606
"425",92.2759316337238
"426",92.3158019498071
"427",92.3539204673253
"428",92.3901403363878
"429",92.4243147086004
"430",92.45629673354
"431",92.4859395622156
